SYMBOL,AVG_DELIV_QTY,NEW_DELIV_QTY,PCT_DEVIATION
GUJTHEM,96553.3,215003,122.68
GULFPETRO,65439.0,28997,-55.69
GVT&D,219660.9,846293,285.27
HAPPYFORGE,7472.2,16280,117.87
HARIOMPIPE,212594.6,104212,-50.98
HARSHA,33550.4,66564,98.4
HBLENGINE,544034.8,270274,-50.32
HCG,154379.0,65053,-57.86
HCLTECH,1195525.9,2081780,74.13
HDBFS,9865751.62,1738889,-82.37
HDFCAMC,208958.9,93381,-55.31
HDFCLIQUID,9754.1,2595,-73.4
HDFCNEXT50,37592.4,118623,215.55
HDFCNIF100,86005.9,15065,-82.48
HDFCNIFBAN,436766.9,98611,-77.42
HDFCNIFIT,34250.5,151438,342.15
HDFCNIFTY,77459.0,24356,-68.56
HDFCPVTBAN,339658.2,55129,-83.77
HDFCSILVER,727443.8,1410771,93.94
HEG,160581.2,1069578,566.07
HEIDELBERG,128228.9,313738,144.67
HESTERBIO,777.0,2158,177.73
HEXATRADEX,10084.7,2360,-76.6
HINDCOMPOS,3342.5,1271,-61.97
HINDCON,18547.4,50326,171.34
HINDCOPPER,1580716.1,721867,-54.33
HINDWAREAP,54376.9,19322,-64.47
HISARMETAL,2857.5,850,-70.25
HMAAGRO,328695.7,108705,-66.93
HNDFDS,93276.8,17238,-81.52
HONASA,265678.0,409425,54.11
HONAUT,4086.4,697,-82.94
HPIL,4455.9,687,-84.58
HPL,218754.6,418934,91.51
HUHTAMAKI,198826.4,35027,-82.38
ICIL,92319.0,30303,-67.18
ICRA,18121.9,2716,-85.01
IDEA,111394501.0,291879283,162.02
IDFNIFTYET,11938.7,439,-96.32
IFCI,2677043.1,7377336,175.58
IGARASHI,43375.1,98169,126.33
IGIL,393626.4,181852,-53.8
IKS,151873.2,23466,-84.55
IMFA,59463.4,27910,-53.06
INDIACEM,137207.9,65463,-52.29
INDIAMART,106099.6,576918,443.75
INDIANHUME,49783.4,14481,-70.91
INDIASHLTR,649919.7,51486,-92.08
INDOAMIN,94060.3,45335,-51.8
INDOCO,44702.5,110268,146.67
INDOSTAR,88621.6,483043,445.06
INFIBEAM,10695134.5,4479788,-58.11
INFRABEES,5947.9,2861,-51.9
INFRAIETF,559476.9,8237217,1372.31
INFY,3509297.9,6621085,88.67
INGERRAND,7730.6,13626,76.26
INTLCONV,100626.3,340307,238.19
INVENTURE,1156634.9,498943,-56.86
IOB,4160557.7,1996818,-52.01
IONEXCHANG,66197.2,106400,60.73
IPL,193885.1,64527,-66.72
IRCTC,417610.7,203993,-51.15
IRMENERGY,51873.5,14507,-72.03
IT,251633.8,2373739,843.33
ITBEES,3974206.4,7145576,79.8
ITETF,151689.1,354520,133.71
ITETFADD,11643.0,41029,252.39
ITI,240694.6,109162,-54.65
ITIETF,227847.8,2552768,1020.38
IVZINGOLD,212.8,2087,880.73
IVZINNIFTY,27.5,86,212.73
IXIGO,285809.8,1763825,517.13
JAGRAN,74730.1,158234,111.74
JAGSNPHARM,54301.9,200267,268.8
JAIBALAJI,713959.5,211775,-70.34
JAYAGROGN,5831.3,2905,-50.18
JAYNECOIND,778089.3,2615394,236.13
JAYSREETEA,34963.5,16677,-52.3
JBCHEPHARM,405824.5,681531,67.94
JCHAC,27281.5,7127,-73.88
JGCHEM,298852.8,140562,-52.97
JHS,44862.8,72206,60.95
JINDALSAW,737148.4,327048,-55.63
JINDALSTEL,391013.5,1025061,162.15
JITFINFRA,28856.2,12959,-55.09
JKLAKSHMI,389269.6,77681,-80.04
JKPAPER,286836.8,103434,-63.94
JKTYRE,233590.3,109172,-53.26
JLHL,25820.6,3427,-86.73
JMA,18482.8,4800,-74.03
JPPOWER,75506941.0,149692563,98.25
JSL,306279.6,686704,124.21
JSWINFRA,833159.6,1386966,66.47
JUBLCPL,1495.3,2737,83.04
JUSTDIAL,76058.6,119028,56.5
JYOTHYLAB,268202.9,100069,-62.69
JYOTICNC,1607266.2,244545,-84.79
KAKATCEM,2031.3,3743,84.27
KALAMANDIR,736257.8,140269,-80.95
KALPATARU,959438.89,232746,-75.74
KALYANIFRG,1403.4,300,-78.62
KALYANKJIL,1513417.3,521911,-65.51
KAMATHOTEL,31197.0,9052,-70.98
KAMDHENU,1764260.8,380426,-78.44
KANORICHEM,10126.8,3359,-66.83
KAYNES,184523.2,90259,-51.09
KECL,95130.3,189949,99.67
KHANDSE,10924.2,3271,-70.06
KICL,1605.8,599,-62.7
KINGFA,6096.5,1796,-70.54
KKCL,70824.5,27689,-60.9
KOLTEPATIL,172870.3,71621,-58.57
KOTHARIPET,24008.4,11169,-53.48
KPIL,169327.5,39860,-76.46
KPITTECH,459144.7,202843,-55.82
KPRMILL,305505.2,79506,-73.98
KRN,283637.1,95671,-66.27
KROSS,58092.3,89441,53.96
KSB,61519.9,398752,548.17
KSL,47046.5,17262,-63.31
KTKBANK,1529196.5,548817,-64.11
LAGNAM,9764.1,20815,113.18
LALPATHLAB,113357.3,36812,-67.53
LANDMARK,15936.7,67500,323.55
LATENTVIEW,235639.1,113715,-51.74
LAXMICOT,45974.6,7667,-83.32
LAXMIDENTL,35002.6,277888,693.91
LEMONTREE,2260132.9,903071,-60.04
LGHL,10414.6,1947,-81.31
LIBAS,24139.7,52786,118.67
LICNETFN50,3921.2,8212,109.43
LIQUID,187646.2,28937,-84.58
LIQUID1,188857.1,84883,-55.05
LIQUIDETF,201042.9,448422,123.05
LIQUIDIETF,566015.4,867610,53.28
LIQUIDPLUS,85237.5,10246,-87.98
LIQUIDSBI,4950.4,1329,-73.15
LIQUIDSHRI,15904.5,6172,-61.19
LLOYDSENGG,5219581.1,2534906,-51.43
LLOYDSME,237232.9,118583,-50.01
LMW,1539.1,2410,56.59
LODHA,508411.0,253878,-50.06
LOKESHMACH,123143.8,18875,-84.67
LOTUSEYE,26367.7,13003,-50.69
LOVABLE,21831.9,4889,-77.61
LOWVOL,2808.3,119,-95.76
LOWVOL1,149391.0,5945,-96.02
LOWVOLIETF,2584045.7,755756,-70.75
LOYALTEX,1335.9,2180,63.19
LPDC,27964.7,12072,-56.83
LUMAXIND,5840.7,2010,-65.59
LUPIN,752924.5,347229,-53.88
M&M,990696.8,2112495,113.23
MADRASFERT,46153.2,16690,-63.84
MAGADSUGAR,8624.7,3078,-64.31
MAGNUM,45928.6,221986,383.33
MAHKTECH,504998.9,1176942,133.06
MAHSEAMLES,147609.6,65334,-55.74
MAITHANALL,30533.6,13452,-55.94
MALLCOM,5761.4,2045,-64.51
MALUPAPER,33608.5,6458,-80.78
MANAKALUCO,36244.8,9800,-72.96
MANAKCOAT,83540.8,37201,-55.47
MANGCHEFER,145690.0,328108,125.21
MANKIND,476833.6,1098574,130.39
MANOMAY,4963.8,2129,-57.11
MANORAMA,48218.4,118556,145.87
MARKSANS,370611.1,804896,117.18
MASTEK,37939.7,18957,-50.03
MASTERTR,84981.5,26126,-69.26
MAYURUNIQ,21784.3,35351,62.28
MAZDA,110189.5,45569,-58.64
MBAPL,73106.6,196565,168.87
MCL,19289.6,29193,51.34
MCLOUD,543891.2,1293799,137.88
MEDICAMEQ,12258.4,18834,53.64
MEDPLUS,76403.2,33304,-56.41
MEGASTAR,11445.1,5287,-53.81
METAL,868834.3,425770,-51.0
METALIETF,2641267.4,846937,-67.93
METROBRAND,49090.4,14049,-71.38
MFSL,471649.6,764352,62.06
MGEL,1520675.4,525264,-65.46
MHRIL,53848.5,24250,-54.97
MID150,20196.7,5635,-72.1
MID150BEES,558332.5,258901,-53.63
MIDQ50ADD,2688.4,1343,-50.04
MIRCELECTR,385459.5,604849,56.92
MITTAL,1551357.8,442521,-71.48
MMP,35277.7,15494,-56.08
MNC,143912.3,51350,-64.32
MOALPHA50,20153.5,2899,-85.62
MODTHREAD,666.9,3090,363.34
